,As of Date,Facility PFI,Facility Name,DOH Region,Facility County,Facility Network,NY Forward Region,Patients Currently Hospitalized,Patients Newly Admitted,Patients Positive After Admission,Patients Discharged,Patients Currently in ICU,Patients Currently ICU Intubated,Patients Expired,Cumulative COVID-19 Discharges to Date,Cumulative COVID-19 Fatalities to Date,Total Staffed Beds,Total Staffed Beds Currently Available,Total Staffed ICU Beds,Total Staffed ICU Beds Currently Available,Patients Age Less Than 1 Year,Patients Age 1 To 4 Years,Patients Age 5 to 19 Years,Patients Age 20 to 44 Years,Patients Age 45 to 54 Years,Patients Age 55 to 64 Years,Patients Age 65 to 74 Years,Patients Age 75 to 84 Years,Patients Age Greater Than 85 Years,Hospitalized Indicator
11780,11/14/2021,218,SISTERS OF CHARITY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,31.0,2.0,0.0,2.0,3.0,3.0,0.0,706,88,0,84.0,50.0,20.0,0.0,0.0,0.0,6.0,2.0,10.0,5.0,1.0,7.0,0
11781,11/14/2021,267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,19.0,2.0,0.0,1.0,4.0,2.0,1.0,497,95,0,84.0,50.0,20.0,0.0,0.0,0.0,3.0,1.0,2.0,5.0,6.0,2.0,0
11782,11/14/2021,280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,4.0,0.0,0.0,2.0,0.0,0.0,1.0,169,19,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0
11783,11/14/2021,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,687",284,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11784,11/14/2021,1723,MERCY HOSPITAL-ORCHARD PARK DIVISION,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11785,11/14/2021,3067,MILLARD FILLMORE SUBURBAN HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,36.0,2.0,4.0,4.0,6.0,4.0,1.0,"1,356",370,0,84.0,50.0,20.0,0.0,0.0,0.0,5.0,4.0,7.0,8.0,6.0,6.0,0
11786,11/15/2021,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,45.0,1.0,2.0,0.0,16.0,9.0,0.0,"1,347",355,0,84.0,50.0,20.0,0.0,0.0,0.0,5.0,7.0,15.0,8.0,4.0,6.0,0
11787,11/15/2021,208,JOHN R. OISHEI CHILDRENS HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,4.0,0.0,0.0,0.0,2.0,1.0,0.0,267,0,0,84.0,50.0,20.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11788,11/15/2021,210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,33.0,0.0,2.0,1.0,9.0,9.0,0.0,"1,413",152,0,84.0,50.0,20.0,0.0,0.0,0.0,6.0,3.0,10.0,8.0,1.0,5.0,0
11789,11/15/2021,213,MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,23.0,4.0,0.0,6.0,3.0,3.0,0.0,"1,092",170,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,2.0,6.0,5.0,4.0,5.0,0
11790,11/15/2021,218,SISTERS OF CHARITY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,33.0,5.0,0.0,3.0,3.0,2.0,0.0,709,88,0,84.0,50.0,20.0,0.0,0.0,0.0,6.0,2.0,10.0,6.0,2.0,7.0,0
11791,11/15/2021,267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,22.0,4.0,0.0,0.0,3.0,1.0,1.0,497,96,0,84.0,50.0,20.0,0.0,0.0,0.0,6.0,1.0,2.0,5.0,6.0,2.0,0
11792,11/15/2021,280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,4.0,1.0,0.0,0.0,0.0,0.0,1.0,169,20,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0
11793,11/15/2021,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,687",284,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11794,11/15/2021,1723,MERCY HOSPITAL-ORCHARD PARK DIVISION,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11795,11/15/2021,3067,MILLARD FILLMORE SUBURBAN HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,36.0,1.0,4.0,5.0,6.0,5.0,0.0,"1,361",370,0,84.0,50.0,20.0,0.0,0.0,0.0,6.0,4.0,7.0,8.0,6.0,5.0,0
11796,11/16/2021,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,45.0,2.0,4.0,6.0,16.0,9.0,0.0,"1,353",355,0,84.0,50.0,20.0,0.0,0.0,0.0,4.0,6.0,12.0,10.0,5.0,8.0,0
11797,11/16/2021,208,JOHN R. OISHEI CHILDRENS HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,6.0,2.0,0.0,0.0,2.0,1.0,0.0,267,0,0,84.0,50.0,20.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0
11798,11/16/2021,210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,25.0,0.0,0.0,6.0,8.0,8.0,2.0,"1,419",154,0,84.0,50.0,20.0,0.0,0.0,0.0,4.0,2.0,8.0,6.0,1.0,4.0,0
11799,11/16/2021,213,MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,31.0,11.0,0.0,3.0,2.0,2.0,0.0,"1,095",170,0,84.0,50.0,20.0,0.0,0.0,0.0,3.0,3.0,8.0,9.0,4.0,4.0,0
11800,11/16/2021,218,SISTERS OF CHARITY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,36.0,3.0,0.0,0.0,3.0,1.0,0.0,709,88,0,84.0,50.0,20.0,0.0,0.0,0.0,7.0,2.0,10.0,7.0,3.0,7.0,0
11801,11/16/2021,267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,22.0,4.0,0.0,4.0,3.0,1.0,0.0,501,96,0,84.0,50.0,20.0,0.0,0.0,0.0,5.0,1.0,2.0,5.0,7.0,2.0,0
11802,11/16/2021,280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,5.0,1.0,0.0,0.0,0.0,0.0,0.0,169,20,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0
11803,11/16/2021,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,687",284,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11804,11/16/2021,1723,MERCY HOSPITAL-ORCHARD PARK DIVISION,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11805,11/16/2021,3067,MILLARD FILLMORE SUBURBAN HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,33.0,4.0,3.0,8.0,6.0,4.0,1.0,"1,369",371,0,84.0,50.0,20.0,0.0,0.0,0.0,5.0,4.0,8.0,7.0,5.0,4.0,0
11806,11/17/2021,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,47.0,5.0,3.0,4.0,18.0,11.0,1.0,"1,357",356,0,84.0,50.0,20.0,0.0,0.0,0.0,2.0,8.0,14.0,9.0,6.0,8.0,0
11807,11/17/2021,208,JOHN R. OISHEI CHILDRENS HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,6.0,1.0,0.0,1.0,2.0,1.0,0.0,268,0,0,84.0,50.0,20.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0
11808,11/17/2021,210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,30.0,0.0,7.0,2.0,7.0,7.0,1.0,"1,421",155,0,84.0,50.0,20.0,0.0,0.0,0.0,7.0,2.0,8.0,6.0,2.0,5.0,0
11809,11/17/2021,213,MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,36.0,11.0,0.0,6.0,3.0,3.0,0.0,"1,101",170,0,84.0,50.0,20.0,0.0,0.0,0.0,5.0,5.0,8.0,8.0,7.0,3.0,0
11810,11/17/2021,218,SISTERS OF CHARITY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,38.0,5.0,0.0,2.0,2.0,1.0,1.0,711,89,0,84.0,50.0,20.0,0.0,0.0,0.0,7.0,3.0,11.0,7.0,4.0,6.0,0
11811,11/17/2021,267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,22.0,3.0,0.0,3.0,4.0,1.0,0.0,504,96,0,84.0,50.0,20.0,0.0,0.0,0.0,3.0,2.0,2.0,5.0,7.0,3.0,0
11812,11/17/2021,280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,5.0,1.0,0.0,1.0,0.0,0.0,0.0,170,20,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0
11813,11/17/2021,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,687",284,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11814,11/17/2021,1723,MERCY HOSPITAL-ORCHARD PARK DIVISION,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11815,11/17/2021,3067,MILLARD FILLMORE SUBURBAN HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,32.0,3.0,2.0,5.0,5.0,3.0,1.0,"1,374",372,0,84.0,50.0,20.0,0.0,0.0,0.0,4.0,4.0,7.0,7.0,7.0,3.0,0
11816,11/18/2021,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,44.0,2.0,5.0,7.0,15.0,10.0,2.0,"1,364",358,0,84.0,50.0,20.0,0.0,0.0,0.0,3.0,7.0,13.0,8.0,8.0,5.0,0
11817,11/18/2021,208,JOHN R. OISHEI CHILDRENS HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,6.0,1.0,0.0,1.0,2.0,2.0,0.0,269,0,0,84.0,50.0,20.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0
11818,11/18/2021,210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,32.0,1.0,5.0,4.0,7.0,7.0,0.0,"1,425",155,0,84.0,50.0,20.0,0.0,0.0,1.0,4.0,3.0,9.0,7.0,3.0,5.0,0
11819,11/18/2021,213,MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,36.0,11.0,0.0,10.0,5.0,5.0,1.0,"1,111",171,0,84.0,50.0,20.0,0.0,0.0,0.0,5.0,5.0,9.0,8.0,8.0,1.0,0
11820,11/18/2021,218,SISTERS OF CHARITY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,32.0,4.0,0.0,10.0,1.0,1.0,0.0,721,89,0,84.0,50.0,20.0,0.0,0.0,0.0,8.0,1.0,10.0,7.0,3.0,3.0,0
11821,11/18/2021,267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,22.0,3.0,0.0,1.0,6.0,2.0,2.0,505,98,0,84.0,50.0,20.0,0.0,0.0,0.0,4.0,2.0,2.0,6.0,5.0,3.0,0
11822,11/18/2021,280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,5.0,1.0,0.0,1.0,0.0,0.0,0.0,171,20,0,84.0,50.0,20.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0
11823,11/18/2021,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,687",284,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11824,11/18/2021,1723,MERCY HOSPITAL-ORCHARD PARK DIVISION,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11825,11/18/2021,3067,MILLARD FILLMORE SUBURBAN HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,33.0,3.0,1.0,3.0,6.0,3.0,0.0,"1,377",372,0,84.0,50.0,20.0,0.0,0.0,0.0,6.0,4.0,6.0,7.0,6.0,4.0,0
11826,11/19/2021,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,41.0,3.0,3.0,6.0,14.0,9.0,1.0,"1,370",359,0,84.0,50.0,20.0,0.0,0.0,0.0,3.0,7.0,10.0,6.0,8.0,7.0,0
11827,11/19/2021,208,JOHN R. OISHEI CHILDRENS HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,8.0,3.0,0.0,1.0,2.0,2.0,0.0,270,0,0,84.0,50.0,20.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11828,11/19/2021,210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,39.0,0.0,7.0,0.0,7.0,7.0,0.0,"1,425",155,0,84.0,50.0,20.0,0.0,0.0,1.0,9.0,4.0,9.0,8.0,3.0,5.0,0
11829,11/19/2021,213,MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,44.0,12.0,0.0,4.0,5.0,5.0,0.0,"1,115",171,0,84.0,50.0,20.0,0.0,0.0,0.0,7.0,6.0,12.0,7.0,10.0,2.0,0
11830,11/19/2021,218,SISTERS OF CHARITY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,33.0,5.0,0.0,4.0,1.0,1.0,0.0,725,89,0,84.0,50.0,20.0,0.0,0.0,0.0,7.0,1.0,11.0,7.0,5.0,2.0,0
11831,11/19/2021,267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,20.0,2.0,0.0,3.0,4.0,2.0,1.0,508,99,0,84.0,50.0,20.0,0.0,0.0,0.0,4.0,2.0,2.0,5.0,4.0,3.0,0
11832,11/19/2021,280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,5.0,0.0,0.0,0.0,0.0,0.0,0.0,171,20,0,84.0,50.0,20.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0
11833,11/19/2021,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,687",284,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11834,11/19/2021,1723,MERCY HOSPITAL-ORCHARD PARK DIVISION,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11835,11/19/2021,3067,MILLARD FILLMORE SUBURBAN HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,37.0,1.0,7.0,3.0,7.0,4.0,0.0,"1,380",372,0,84.0,50.0,20.0,0.0,0.0,0.0,5.0,3.0,8.0,9.0,8.0,4.0,0
11836,11/20/2021,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,47.0,9.0,0.0,2.0,16.0,9.0,0.0,"1,372",359,0,84.0,50.0,20.0,0.0,0.0,0.0,5.0,9.0,10.0,7.0,8.0,8.0,0
11837,11/20/2021,208,JOHN R. OISHEI CHILDRENS HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,4.0,1.0,0.0,5.0,2.0,1.0,0.0,275,0,0,84.0,50.0,20.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11838,11/20/2021,210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,44.0,1.0,5.0,1.0,8.0,7.0,0.0,"1,426",155,0,84.0,50.0,20.0,0.0,0.0,1.0,10.0,5.0,11.0,7.0,5.0,5.0,0
11839,11/20/2021,213,MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,52.0,14.0,0.0,6.0,7.0,7.0,0.0,"1,121",171,0,84.0,50.0,20.0,0.0,0.0,0.0,7.0,9.0,15.0,6.0,11.0,4.0,0
11840,11/20/2021,218,SISTERS OF CHARITY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,31.0,3.0,0.0,5.0,2.0,1.0,0.0,730,89,0,84.0,50.0,20.0,0.0,0.0,0.0,7.0,1.0,9.0,7.0,6.0,1.0,0
11841,11/20/2021,267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,24.0,5.0,0.0,1.0,6.0,2.0,1.0,509,100,0,84.0,50.0,20.0,0.0,0.0,0.0,5.0,3.0,2.0,6.0,4.0,4.0,0
11842,11/20/2021,280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,5.0,1.0,0.0,0.0,0.0,0.0,0.0,171,20,0,84.0,50.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0
11843,11/20/2021,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,687",284,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11844,11/20/2021,1723,MERCY HOSPITAL-ORCHARD PARK DIVISION,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11845,11/20/2021,3067,MILLARD FILLMORE SUBURBAN HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,40.0,4.0,4.0,5.0,8.0,4.0,0.0,"1,385",372,0,84.0,50.0,20.0,0.0,0.0,0.0,5.0,4.0,9.0,8.0,10.0,4.0,0
11846,11/21/2021,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,47.0,2.0,0.0,2.0,16.0,10.0,0.0,"1,374",359,0,84.0,50.0,20.0,0.0,0.0,0.0,4.0,9.0,10.0,8.0,8.0,8.0,0
11847,11/21/2021,208,JOHN R. OISHEI CHILDRENS HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,3.0,0.0,0.0,1.0,2.0,1.0,0.0,276,0,0,84.0,50.0,20.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11848,11/21/2021,210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,47.0,4.0,0.0,1.0,10.0,10.0,0.0,"1,427",155,0,84.0,50.0,20.0,0.0,0.0,1.0,11.0,6.0,11.0,8.0,5.0,5.0,0
11849,11/21/2021,213,MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,52.0,8.0,0.0,8.0,6.0,6.0,0.0,"1,129",171,0,84.0,50.0,20.0,0.0,0.0,0.0,7.0,8.0,16.0,9.0,11.0,1.0,0
11850,11/21/2021,218,SISTERS OF CHARITY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,32.0,5.0,0.0,3.0,2.0,1.0,0.0,733,89,0,84.0,50.0,20.0,0.0,0.0,0.0,7.0,3.0,7.0,8.0,4.0,3.0,0
11851,11/21/2021,267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,25.0,3.0,0.0,2.0,7.0,2.0,0.0,511,100,0,84.0,50.0,20.0,0.0,0.0,0.0,5.0,4.0,2.0,5.0,4.0,5.0,0
11852,11/21/2021,280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,5.0,1.0,0.0,1.0,0.0,0.0,1.0,172,21,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0
11853,11/21/2021,292,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,687",284,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11854,11/21/2021,1723,MERCY HOSPITAL-ORCHARD PARK DIVISION,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,84.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11855,11/21/2021,3067,MILLARD FILLMORE SUBURBAN HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,45.0,4.0,6.0,5.0,9.0,5.0,0.0,"1,390",372,0,84.0,50.0,20.0,0.0,0.0,0.0,5.0,2.0,9.0,10.0,14.0,5.0,0
11856,11/22/2021,207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,47.0,3.0,2.0,3.0,17.0,11.0,1.0,"1,377",360,0,84.0,50.0,20.0,0.0,0.0,0.0,2.0,9.0,11.0,8.0,8.0,9.0,0
11857,11/22/2021,208,JOHN R. OISHEI CHILDRENS HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,4.0,1.0,0.0,0.0,2.0,1.0,0.0,276,0,0,84.0,50.0,20.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11858,11/22/2021,210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE,ERIE,INDEPENDENT,WESTERN NEW YORK,49.0,0.0,7.0,3.0,10.0,10.0,1.0,"1,430",156,0,84.0,50.0,20.0,0.0,0.0,2.0,11.0,6.0,13.0,7.0,6.0,4.0,0
11859,11/22/2021,213,MERCY HOSPITAL,WESTERN REGIONAL OFFICE,ERIE,"CATHOLIC HEALTH, BUFFALO",WESTERN NEW YORK,50.0,7.0,0.0,8.0,5.0,0.0,1.0,"1,137",172,0,84.0,50.0,20.0,0.0,0.0,0.0,7.0,7.0,14.0,10.0,11.0,1.0,0
